Station,transmission_rate,log_transmission_rate,ground_lit,sat_lit,elevation_class
71 - PV8DX,0.015765765765765764,-4.149914413376911,False,False,Medium
2968 - UX5UL,0.5852017937219731,-0.5357985446973706,True,True,Low
2968 - UX5UL,2.4807370184254607,0.9085557008751967,True,True,High
2015 - Drachten,0.018789144050104383,-3.974476020074696,True,True,High
3523 - IK1JNS-UHF,0.01607717041800643,-4.130354999745133,True,True,High
2968 - UX5UL,0.0896551724137931,-2.4117843849590375,True,True,Low
2968 - UX5UL,0.0471976401179941,-3.0534113851406692,False,True,Low
3122 - Lovets,0.09762532981530343,-2.326618292438202,False,True,Medium
2968 - UX5UL,1.2944162436548223,0.2580598164204376,False,True,High
2015 - Drachten,0.014675052410901468,-4.221606341833028,False,True,High
812 - PF_DE_UHF_X_DIPOLE,0.015665796344647518,-4.156275519952591,False,True,High
2968 - UX5UL,0.6161369193154034,-0.4842860685313785,True,True,Low
2968 - UX5UL,0.23185011709601874,-1.4616641630940346,True,True,Low
1864 - SA2KNG Omni UHF/VHF,2.9277777777777776,1.0742436976511518,True,True,High
2968 - UX5UL,1.7391304347826086,0.5533852381847866,True,True,High
1710 - EU1AEM,1.3157894736842106,0.27443684570176036,True,True,High
2029 - EU1AEM,0.665083135391924,-0.4078432305131318,True,True,Low
1466 - PE0SAT-12,3.4,1.2237754316221157,True,True,High
2015 - Drachten,0.23492723492723494,-1.4484794513934205,True,True,High
,0.09832635983263599,-2.3194631307813975,True,True,High
2410 - GAO UHF,0.6393897364771152,-0.4472410942883005,True,True,Low
2968 - UX5UL,0.2917933130699088,-1.2317095592975358,True,True,Low
71 - PV8DX,0.017857142857142856,-4.02535169073515,True,True,Medium
2968 - UX5UL,0.6688963210702341,-0.40212620684264977,False,True,Low
2968 - UX5UL,1.8847457627118644,0.6337929379107625,False,True,High
1861 - LW2DYB,0.6666666666666666,-0.40546510810816444,False,False,Medium
1864 - SA2KNG Omni UHF/VHF,3.1555555555555554,1.149164567830941,False,True,High
766 - Dunchurch,0.09428571428571429,-2.361425593016979,False,True,Medium
2968 - UX5UL,0.8149882903981265,-0.2045815334541502,True,True,Low
2968 - UX5UL,0.6068796068796068,-0.49942484881461785,True,True,Low
1864 - SA2KNG Omni UHF/VHF,0.8888888888888888,-0.11778303565638351,True,True,High
2968 - UX5UL,2.371859296482412,0.863674160861063,True,True,High
1710 - EU1AEM,2.005194805194805,0.6957412157369919,False,True,Medium
2029 - EU1AEM,1.549520766773163,0.43794570039733,False,True,Low
431 - PE0SAT-11,0.6658227848101266,-0.40673173272335733,True,True,High
2173 - PE0SAT-21,0.8455696202531645,-0.1677447719244215,True,True,High
1466 - PE0SAT-12,0.9,-0.10536051565782628,True,True,High
2015 - Drachten,0.1887966804979253,-1.6670846075337502,True,True,High
2968 - UX5UL,0.36363636363636365,-1.0116009116784799,True,True,Low
1936 - VK4JBE-UHF,0.26143790849673204,-1.341558467278499,False,False,Medium
2012 - SP7THR-UHF,0.2571976967370441,-1.3579102418024556,True,True,Medium
2968 - UX5UL,0.043824701195219126,-3.1275576663334133,False,True,Low
1861 - LW2DYB,0.4110032362459547,-0.8891541904391542,False,False,Medium
2968 - UX5UL,1.9047619047619047,0.6443570163905132,False,True,High
1864 - SA2KNG Omni UHF/VHF,0.4444444444444444,-0.8109302162163288,False,True,High
812 - PF_DE_UHF_X_DIPOLE,0.04381443298969072,-3.1277919955670574,False,True,High
2015 - Drachten,0.459915611814346,-0.7767122589059875,False,True,High
,0.32346723044397463,-1.1286574670994975,False,True,High
3523 - IK1JNS-UHF,0.238562091503268,-1.4331256608039895,False,True,High
2968 - UX5UL,0.5202702702702703,-0.6534068519104311,True,True,Low
1864 - SA2KNG Omni UHF/VHF,2.522222222222222,0.9251403471511376,True,True,High
431 - PE0SAT-11,1.139240506329114,0.13036181786324363,True,True,High
1466 - PE0SAT-12,1.2277777777777779,0.2052058506275425,True,True,High
2015 - Drachten,0.4306418219461698,-0.8424785739512547,True,True,High
1710 - EU1AEM,1.266497461928934,0.23625518645358481,False,True,Medium
1710 - EU1AEM,1.1602564102564104,0.1486410240162888,True,True,High
2029 - EU1AEM,2.0411392405063293,0.7135081032088605,False,True,Low
3369 - EST VENUS,0.7857142857142857,-0.2411620568168881,True,True,High
1936 - VK4JBE-UHF,0.15932203389830507,-1.8368277546297613,False,False,Medium
2968 - UX5UL,0.21875,-1.5198257537444133,True,True,Low
2968 - UX5UL,3.1258389261744965,1.1397027035362386,True,True,High
2968 - UX5UL,0.41475826972010177,-0.880059411062499,True,True,Low
2968 - UX5UL,0.1746031746031746,-1.7452394535931621,False,True,Low
1861 - LW2DYB,1.0949367088607596,0.0906965614708122,False,False,High
2968 - UX5UL,2.1384615384615384,0.7600866632350546,False,True,High
431 - PE0SAT-11,0.6640211640211641,-0.4094412564878037,False,True,Medium
1864 - SA2KNG Omni UHF/VHF,2.261111111111111,0.8158563345523846,False,True,High
3523 - IK1JNS-UHF,0.6796747967479675,-0.3861408352817615,False,True,High
2968 - UX5UL,0.967391304347826,-0.03315220731690051,False,True,Low
2968 - UX5UL,0.85,-0.16251892949777494,True,True,Low
431 - PE0SAT-11,1.4071246819338423,0.3415483896530736,True,True,High
2173 - PE0SAT-21,0.3231552162849873,-1.12962252541067,True,True,High
2968 - UX5UL,2.9343434343434343,1.0764837261573759,True,True,High
1710 - EU1AEM,1.7780548628428927,0.5755199931077267,False,True,Medium
2029 - EU1AEM,2.7147335423197494,0.9986938057775907,False,True,Low
2968 - UX5UL,0.9140811455847255,-0.08983593074149175,True,True,Low
1861 - LW2DYB,0.17735849056603772,-1.7295822242761636,True,True,Medium
1936 - VK4JBE-UHF,0.8853046594982079,-0.1218234451933884,False,False,Medium
1861 - LW2DYB,0.3956386292834891,-0.9272540366714246,False,False,High
431 - PE0SAT-11,0.9811827956989247,-0.018996500690655036,False,True,Medium
2968 - UX5UL,2.450946643717728,0.8964743351200098,False,True,Medium
1864 - SA2KNG Omni UHF/VHF,3.0055555555555555,1.1004624279562711,False,True,High
3752 - HSB UHF,0.46442953020134226,-0.7669454433218353,False,True,High
812 - PF_DE_UHF_X_DIPOLE,0.007751937984496124,-4.859812404361672,False,True,High
2968 - UX5UL,1.6252631578947367,0.4856697459901349,False,True,Low
2968 - UX5UL,0.14156626506024098,-1.95498736720643,True,True,Low
3752 - HSB UHF,0.6560424966799469,-0.4215297106119711,True,True,High
1710 - EU1AEM,0.8722358722358723,-0.13669539596717914,False,True,Medium
1710 - EU1AEM,3.787974683544304,1.331831491971061,True,True,Medium
2029 - EU1AEM,2.334375,0.8477441893390452,False,True,Medium
431 - PE0SAT-11,1.1311053984575836,0.12319538329386062,True,True,High
2173 - PE0SAT-21,0.41131105398457585,-0.8884055283846194,True,True,High
2968 - UX5UL,0.494077834179357,-0.7050622151378164,True,True,High
2968 - UX5UL,1.4524886877828054,0.373278421612263,True,True,Low
1936 - VK4JBE-UHF,0.6177606177606177,-0.48165424646571087,False,False,Medium
2968 - UX5UL,2.395147313691508,0.8734447378195157,False,True,Medium
1864 - SA2KNG Omni UHF/VHF,1.961111111111111,0.6735112060430863,False,True,High
2410 - GAO UHF,0.6566347469220246,-0.4206273558478419,False,True,Medium
2968 - UX5UL,1.4551020408163264,0.3750760293096236,False,True,Low
2012 - SP7THR-UHF,0.6498054474708171,-0.43108227247846465,False,True,Medium
2968 - UX5UL,0.717607973421927,-0.3318318570647107,True,True,Low
1864 - SA2KNG Omni UHF/VHF,3.0055555555555555,1.1004624279562711,True,True,High
431 - PE0SAT-11,0.9402597402597402,-0.06159912246201319,True,True,High
2968 - UX5UL,2.6377551020408165,0.969928215277912,True,True,Medium
2029 - EU1AEM,1.2307692307692308,0.20763936477824455,True,True,Low
2617 - K2PI,0.1539491298527443,-1.8711330567695672,True,True,Medium
